Articul,Name,URL,Price,Promo Price,Brand
119101,"Вода Черноголовка Baby негазированная, 330мл",https://online.metro-cc.ru/products/chernogolovka-baby-pet-033-l-119101,28.0,,ЧЕРНОГОЛОВКА
84866,"Вода Липецкая Росинка Лайт со вкусом вишни газированная, 1.5л",https://online.metro-cc.ru/products/voda-gazirovannaya-vishnya-v-pet-lipeckaya-rosinka-15l-84866,65.9,49.9,ЛИПЕЦКАЯ РОСИНКА
231868,"Вода Сенежская лимон-мята газированная, 1л",https://online.metro-cc.ru/products/voda-senezhskaya-limon-myata-gazirovannaya-1l,57.9,,СЕНЕЖСКАЯ
92193,"Вода Липецкая Лайт негазированная, 1.5л",https://online.metro-cc.ru/products/voda-lipeckaya-rosinka-lajt-negazirovannaya-15l,44.49,32.9,ЛИПЕЦКАЯ
208641,"Вода Edis газированная, 950мл",https://online.metro-cc.ru/products/095l-voda-edis-gaz-st-208641,251.0,,EDIS
131467,"Вода Sairme Родники негазированная, 500мл",https://online.metro-cc.ru/products/05-l-sairme-rodniki-b-g-pet-131467,53.9,,SAIRME
131481,"Вода Sairme Родники негазированная, 1л",https://online.metro-cc.ru/products/1l-sairme-rodniki-b-g-pet-131481,90.9,,SAIRME
203705,"Вода Gletcher природная негазированная, 500мл",https://online.metro-cc.ru/products/05l-voda-prirodnaya-pitevaya-gletcher-negaz-pet-203705,114.0,,GLETCHER
206023,"Вода Fleur Alpine питьевая детская с рождения негазированная, 1л",https://online.metro-cc.ru/products/1l-voda-detskaya-pitevaya-fleur-alpin-s-rozhdeniya-pet-206023,202.0,,FLEUR ALPINE
215218,"Вода Baikal Pearl негазированная, 250мл",https://online.metro-cc.ru/products/025l-voda-zhemchuzhina-baykala-bg-st-215218,104.0,,BAIKAL PEARL
